Ano,Município,CaixasMultibanco,DepositosBancarios
2021,Vila Pouca de Aguiar,9,637396
2021,Vila Real,66,2325822
2021,Vila Real de Santo António,39,926396
2021,Vila Verde,43,1602670
2021,Vila Viçosa,11,181916
2021,Vimioso,6,175066
2021,Vinhais,5,269330
2021,Viseu,122,5428268
2021,Vizela,21,734075
2021,Vouzela,10,244452
2022,Abrantes,48,1094616
2022,Águeda,51,1822886
2022,Aguiar da Beira,8,374094
2022,Albergaria-a-Velha,29,809598
2022,Albufeira,147,2562678
2022,Alcácer do Sal,20,411458
2022,Alcanena,22,466758
2022,Alcobaça,70,1929866
2022,Alcochete,22,468474
2022,Alenquer,40,940084
2022,Alfândega da Fé,5,155230
2022,Alijó,10,421528
2022,Aljezur,19,319768
2022,Aljustrel,11,290532
2022,Almada,206,7378644
2022,Almeida,12,243930
2022,Almeirim,23,665374
2022,Alvito,4,180436
2022,Amadora,156,4275546
2022,Amarante,46,1524904
2022,Amares,15,561482
2022,Anadia,26,949230
2022,Angra do Heroísmo,52,1291572
2022,Ansião,16,483584
2022,Arcos de Valdevez,17,1479772
2022,Arganil,11,348716
2022,Arouca,23,879644
2022,Arraiolos,7,162688
2022,Arruda dos Vinhos,17,450358
2022,Aveiro,112,5272694
2022,Avis,10,131468
2022,Azambuja,30,459180
2022,Baião,10,388454
2022,Barcelos,97,3988566
2022,Barreiro,73,1987836
2022,Batalha,13,1016568
2022,Beja,51,1453708
2022,Belmonte,9,273872
2022,Benavente,38,783684
2022,Bombarral,16,416628
2022,Borba,6,213774
2022,Boticas,4,347118
2022,Braga,208,9018972
2022,Bragança,46,2139908
2022,Cabeceiras de Basto,12,510356
2022,Cadaval,16,261454
2022,Caldas da Rainha,66,2452448
2022,Calheta [R.A.A.],9,96198
2022,Calheta [R.A.M.],11,532754
2022,Câmara de Lobos,19,390868
2022,Caminha,22,841566
2022,Campo Maior,8,196922
2022,Cantanhede,49,1573854
2022,Carregal do Sal,12,239532
2022,Cartaxo,27,688580
2022,Cascais,236,10547042
2022,Castelo Branco,70,2691530
2022,Castelo de Paiva,12,407424
2022,Castro Daire,12,550438
2022,Castro Marim,13,78918
2022,Castro Verde,12,336176
2022,Celorico da Beira,13,377670
2022,Celorico de Basto,10,399194
2022,Chamusca,12,182134
2022,Chaves,44,2077582
2022,Cinfães,12,279028
2022,Coimbra,201,8979974
2022,Condeixa-a-Nova,17,424760
2022,Coruche,17,645128
2022,Covilhã,65,1910890
2022,Crato,6,92836
2022,Elvas,25,711510
2022,Entroncamento,22,671824
2022,Espinho,38,1917072
2022,Esposende,36,1179704
2022,Estarreja,29,1034580
2022,Estremoz,23,653826
2022,Évora,85,3304314
2022,Fafe,37,1761582
2022,Faro,98,4763162
2022,Felgueiras,51,2113554
2022,Ferreira do Alentejo,11,216394
2022,Ferreira do Zêzere,8,181668
2022,Figueira da Foz,72,2339682
2022,Figueira de Castelo Rodrigo,10,226836
2022,Figueiró dos Vinhos,9,214660
2022,Fronteira,5,49962
2022,Funchal,182,7143384
2022,Fundão,41,1175198
2022,Gondomar,111,3618074
2022,Gouveia,17,696226
2022,Grândola,23,718816
2022,Guarda,57,2532258
2022,Guimarães,159,6195996
2022,Horta,27,449198
2022,Idanha-a-Nova,13,338626
2022,Ílhavo,39,981416
2022,Lagoa,50,902760
2022,Lagoa [R.A.A.],12,165830
2022,Lagos,72,1458962
2022,Lajes do Pico,13,124428
2022,Lamego,26,472222
2022,Leiria,140,7889074
2022,Lisboa,1170,145928828
2022,Loulé,149,5193016
2022,Loures,178,5301350
2022,Lourinhã,36,1091648
2022,Lousã,20,537768
2022,Lousada,37,694440
2022,Mação,8,211042
2022,Macedo de Cavaleiros,21,702930
2022,Machico,21,494272
2022,Madalena,16,193116
2022,Mafra,101,2420162
2022,Maia,114,4268204
2022,Mangualde,21,1079764
2022,Marco de Canaveses,41,1512822
2022,Marinha Grande,39,1445752
2022,Matosinhos,193,5061972
2022,Mealhada,33,545896
2022,Mêda,6,283732
2022,Melgaço,8,522332
2022,Mértola,7,252224
2022,Mira,12,550060
2022,Miranda do Corvo,13,312684
2022,Miranda do Douro,11,427738
2022,Mirandela,28,709224
2022,Mogadouro,7,217410
2022,Moimenta da Beira,10,279990
2022,Moita,54,1109062
2022,Monção,19,999522
2022,Mondim de Basto,6,255188
2022,Montalegre,10,632874
2022,Montemor-o-Novo,27,603762
2022,Montemor-o-Velho,19,484568
2022,Montijo,54,1289158
2022,Mora,7,184142
2022,Mortágua,9,515024
2022,Moura,21,421360
2022,Murça,5,238198
2022,Murtosa,9,431004
2022,Nazaré,27,429966
2022,Nelas,18,360116
2022,Nordeste,8,52980
2022,Óbidos,21,187144
2022,Odemira,44,901684
2022,Odivelas,117,4051106
2022,Oeiras,214,30045690
2022,Oleiros,5,203588
2022,Olhão,51,1080412
2022,Oliveira de Azeméis,47,2070384
2022,Oliveira de Frades,14,371936
2022,Oliveira do Bairro,25,877778
2022,Oliveira do Hospital,26,658202
2022,Ourém,57,2596682
2022,Ourique,7,221234
2022,Ovar,59,1533676
2022,Paços de Ferreira,54,1375784
2022,Palmela,62,1165270
2022,Pampilhosa da Serra,9,144946
2022,Paredes,67,2083154
2022,Paredes de Coura,7,311016
2022,Pedrógão Grande,7,193796
2022,Penacova,10,308248
2022,Penafiel,63,2289552
2022,Penalva do Castelo,3,405280
2022,Penamacor,5,238484
2022,Peniche,37,1056608
2022,Peso da Régua,20,700284
2022,Pinhel,7,451938
2022,Pombal,63,3065438
2022,Ponta Delgada,116,3953180
2022,Ponte de Lima,34,1553616
2022,Ponte de Sor,24,520476
2022,Portalegre,41,971100
2022,Portel,10,54194
2022,Portimão,110,2398022
2022,Porto,443,36289420
2022,Porto de Mós,26,715062
2022,Porto Moniz,4,76774
2022,Porto Santo,11,101762
2022,Póvoa de Lanhoso,18,864430
2022,Póvoa de Varzim,71,2810944
2022,Povoação,12,106666
2022,Proença-a-Nova,6,320162
2022,Redondo,7,165110
2022,Reguengos de Monsaraz,14,403742
2022,Resende,10,293118
2022,Ribeira Brava,16,753154
2022,Ribeira de Pena,7,201376
2022,Ribeira Grande,34,466566
2022,Rio Maior,30,731498
2022,Sabrosa,5,92416
2022,Sabugal,18,802786
2022,Salvaterra de Magos,22,456948
2022,Santa Comba Dão,17,268924
2022,Santa Cruz,34,526718
2022,Santa Cruz da Graciosa,10,109030
2022,Santa Maria da Feira,100,3798138
2022,Santana,11,258096
2022,Santarém,86,3206836
2022,Santiago do Cacém,35,970140
2022,Santo Tirso,60,1887982
2022,São Brás de Alportel,10,510862
2022,São João da Madeira,39,2170288
2022,São João da Pesqueira,10,242604
2022,São Pedro do Sul,17,631626
2022,Seia,25,1021804
2022,Seixal,119,2754490
2022,Sernancelhe,6,328110
2022,Serpa,14,459092
2022,Sertã,14,533660
2022,Sesimbra,50,1362060
2022,Setúbal,120,5219216
2022,Sever do Vouga,14,439522
2022,Silves,57,1386222
2022,Sines,25,706690
2022,Sintra,314,9194326
2022,Sobral de Monte Agraço,13,345492
2022,Soure,16,446110
2022,Sousel,6,119476
2022,Tábua,11,299808
2022,Tabuaço,5,129066
2022,Tavira,59,1409880
2022,Terras de Bouro,9,191054
2022,Tomar,41,1393626
2022,Tondela,31,1109492
2022,Torre de Moncorvo,6,380820
2022,Torres Novas,43,1187364
2022,Torres Vedras,89,4297984
2022,Trancoso,13,710306
2022,Trofa,41,1005186
2022,Vagos,27,1066336
2022,Vale de Cambra,25,1004094
2022,Valença,19,794378
2022,Valongo,85,2444192
2022,Valpaços,14,774622
2022,Velas,12,158366
2022,Vendas Novas,15,541776
2022,Viana do Alentejo,8,131200
2022,Viana do Castelo,91,3753850
2022,Vidigueira,9,148508
2022,Vieira do Minho,16,438044
2022,Vila da Praia da Vitória,31,396382
2022,Vila do Bispo,22,166224
2022,Vila do Conde,80,1869854
2022,Vila do Porto,9,148218
2022,Vila Flor,6,188226
2022,Vila Franca de Xira,122,3820728
2022,Vila Franca do Campo,15,273484
2022,Vila Nova de Famalicão,107,5194062
2022,Vila Nova de Foz Côa,9,349538
2022,Vila Nova de Gaia,272,5969268
2022,Vila Pouca de Aguiar,8,637218
2022,Vila Real,66,2591076
2022,Vila Real de Santo António,45,996828
2022,Vila Verde,44,1685590
2022,Vila Viçosa,11,191672
2022,Vimioso,6,182840
2022,Vinhais,5,256612
2022,Viseu,125,6154888
2022,Vizela,22,737158
2022,Vouzela,9,252202
2023,Abrantes,46,1046190
2023,Águeda,48,1998884
2023,Aguiar da Beira,7,363390
2023,Albergaria-a-Velha,33,657206
2023,Albufeira,151,2644922
2023,Alcácer do Sal,23,379554
2023,Alcanena,23,445172
2023,Alcobaça,69,1824908
2023,Alcochete,19,454086
2023,Alenquer,41,902814
2023,Alijó,10,401966
2023,Aljezur,20,306236
2023,Aljustrel,10,254040
2023,Almada,197,7736652
2023,Almeida,12,230200
2023,Almeirim,24,664948
2023,Alvito,4,172776
2023,Amadora,156,4133710
2023,Amarante,45,1517454
2023,Amares,15,557994
2023,Anadia,31,968830
2023,Angra do Heroísmo,54,1224036
2023,Ansião,17,499448
2023,Arcos de Valdevez,19,1457548
2023,Arganil,12,347984
2023,Arouca,21,651504
2023,Arraiolos,7,158576
2023,Arruda dos Vinhos,17,454594
2023,Aveiro,120,5243240
2023,Azambuja,28,406616
2023,Baião,10,388136
2023,Barcelos,96,3736196
2023,Barreiro,76,1701978
2023,Batalha,15,962658
2023,Beja,52,1366902
2023,Belmonte,9,263090
2023,Benavente,38,724042
2023,Bombarral,16,404924
2023,Borba,6,141054
2023,Boticas,4,332210
2023,Braga,208,8712496
2023,Bragança,48,2072916
2023,Cabeceiras de Basto,13,497736
2023,Cadaval,17,296322
2023,Caldas da Rainha,66,2506330
2023,Calheta [R.A.A.],9,97048
2023,Calheta [R.A.M.],12,564206
2023,Câmara de Lobos,20,397338
2023,Caminha,27,801032
2023,Cantanhede,50,1544668
2023,Carregal do Sal,12,230900
2023,Cartaxo,28,673358
2023,Cascais,244,10103242
2023,Castelo Branco,69,2613600
2023,Castelo de Paiva,12,402708
2023,Castro Daire,12,544868
2023,Castro Marim,13,80648
2023,Castro Verde,13,356680
2023,Celorico da Beira,13,380922
2023,Celorico de Basto,11,384196
2023,Chamusca,12,171006
2023,Chaves,43,2039502
2023,Cinfães,13,282454
2023,Coimbra,196,8869272
2023,Condeixa-a-Nova,20,425644
2023,Coruche,19,619628
2023,Covilhã,65,1854926
2023,Crato,6,86110
2023,Elvas,25,725200
2023,Entroncamento,21,629014
2023,Espinho,37,1857050
2023,Esposende,38,1148246
2023,Estarreja,27,1181692
2023,Estremoz,22,608324
2023,Évora,80,3246282
2023,Fafe,40,1722648
2023,Faro,100,4480484
2023,Felgueiras,51,1935940
2023,Ferreira do Alentejo,11,204556
2023,Ferreira do Zêzere,8,179122
2023,Figueira da Foz,74,2329642
2023,Figueira de Castelo Rodrigo,10,218694
2023,Figueiró dos Vinhos,9,208816
2023,Fronteira,6,71552
2023,Funchal,181,7246174
2023,Fundão,41,1176236
2023,Gondomar,109,3573420
2023,Gouveia,17,680174
2023,Grândola,22,685814
2023,Guarda,56,2247756
2023,Guimarães,161,5820940
2023,Horta,25,485990
2023,Idanha-a-Nova,13,333224
2023,Ílhavo,41,986418
2023,Lagoa,55,945106
2023,Lagoa [R.A.A.],11,171824
2023,Lagos,77,1452480
2023,Lajes do Pico,13,128130
2023,Lamego,26,491192
2023,Leiria,143,8288750
2023,Lisboa,1155,145165958
2023,Loulé,152,5245226
2023,Loures,179,5001168
2023,Lourinhã,41,1046400
2023,Lousã,21,525838
2023,Lousada,37,672628
2023,Mação,8,201722
2023,Macedo de Cavaleiros,21,678520
2023,Machico,21,522652
2023,Madalena,17,198214
2023,Mafra,103,2473468
2023,Maia,120,4519086
2023,Mangualde,20,1050276
2023,Marco de Canaveses,41,1479814
2023,Marinha Grande,39,1475068
2023,Matosinhos,187,4938398
2023,Mealhada,33,540766
2023,Mêda,6,272586
2023,Melgaço,8,425510
2023,Mértola,7,241568
2023,Mira,13,547464
2023,Miranda do Corvo,14,300428
2023,Miranda do Douro,12,407048
2023,Mirandela,27,716890
2023,Mogadouro,7,208330
2023,Moimenta da Beira,10,286464
2023,Moita,53,1100570
2023,Monção,21,1078264
2023,Mondim de Basto,7,246744
2023,Montalegre,10,612552
2023,Montemor-o-Novo,27,572940
2023,Montemor-o-Velho,19,482140
2023,Montijo,55,1346584
2023,Mora,7,180880
2023,Mortágua,11,506240
2023,Moura,21,420636
2023,Murça,5,232340
2023,Murtosa,12,256168
2023,Nazaré,28,433730
2023,Nelas,18,348306
2023,Nordeste,8,55876
2023,Óbidos,25,194512
2023,Odemira,44,877178
2023,Odivelas,115,4081288
2023,Oeiras,205,27626204
2023,Oleiros,5,197602
2023,Olhão,56,1092514
2023,Oliveira de Azeméis,51,1805624
2023,Oliveira de Frades,15,368522
2023,Oliveira do Bairro,27,838522
2023,Oliveira do Hospital,27,752500
2023,Ourém,60,2588442
2023,Ourique,7,236690
2023,Ovar,58,1511458
2023,Paços de Ferreira,55,1408946
2023,Palmela,63,1122444
2023,Pampilhosa da Serra,9,132872
2023,Paredes,68,2110874
2023,Paredes de Coura,7,299474
2023,Pedrógão Grande,7,185202
2023,Penacova,10,300918
2023,Penafiel,65,2259908
2023,Penalva do Castelo,4,403980
2023,Penamacor,5,229476
2023,Peniche,38,1014004
2023,Peso da Régua,21,666930
2023,Pinhel,7,431344
2023,Pombal,62,3050970
2023,Ponta Delgada,109,3913434
2023,Ponte de Lima,33,1516046
2023,Ponte de Sor,24,510336
2023,Portalegre,42,936820
2023,Portel,10,51432
2023,Portimão,123,2302230
2023,Porto,453,37434754
2023,Porto de Mós,26,699700
2023,Porto Santo,11,107836
2023,Póvoa de Lanhoso,19,848218
2023,Póvoa de Varzim,72,2804366
2023,Povoação,13,115448
2023,Proença-a-Nova,6,316708
2023,Redondo,7,145032
2023,Reguengos de Monsaraz,14,394400
2023,Resende,10,289718
2023,Ribeira Brava,16,723686
2023,Ribeira de Pena,6,195470
2023,Ribeira Grande,35,480846
2023,Rio Maior,32,691354
2023,Sabugal,18,787598
2023,Salvaterra de Magos,22,492202
2023,Santa Comba Dão,17,251712
2023,Santa Cruz,33,549556
2023,Santa Cruz da Graciosa,10,116374
2023,Santa Maria da Feira,108,4060380
2023,Santana,11,275678
2023,Santarém,87,3162260
2023,Santiago do Cacém,34,1019046
2023,Santo Tirso,57,1835594
2023,São Brás de Alportel,11,516340
2023,São João da Madeira,40,2217526
2023,São João da Pesqueira,10,235340
2023,São Pedro do Sul,17,609076
2023,Sátão,9,395588
2023,Seia,27,1002230
2023,Seixal,122,2701070
2023,Sernancelhe,6,328818
2023,Serpa,16,448384
2023,Sertã,14,544286
2023,Sesimbra,52,1300728
2023,Setúbal,115,5013972
2023,Sever do Vouga,14,383650
2023,Silves,65,1154884
2023,Sines,24,713284
2023,Sintra,321,8914096
2023,Sobral de Monte Agraço,13,330496
2023,Soure,16,435024
2023,Sousel,7,116026
2023,Tábua,11,281090
2023,Tabuaço,5,132462
2023,Tavira,60,1376104
2023,Terras de Bouro,9,199674
2023,Tomar,41,1354062
2023,Tondela,31,1091406
2023,Torre de Moncorvo,5,372314
2023,Torres Novas,43,1210292
2023,Torres Vedras,93,4255486
2023,Trancoso,14,677154
2023,Trofa,41,995676
2023,Vagos,32,1061348
2023,Vale de Cambra,27,937630
2023,Valença,20,765086
2023,Valongo,86,2494220
2023,Valpaços,14,774426
2023,Velas,12,163994
2023,Vendas Novas,15,523770
2023,Viana do Alentejo,8,124266
2023,Viana do Castelo,90,3749614
2023,Vieira do Minho,17,435444
2023,Vila da Praia da Vitória,31,406962
2023,Vila do Bispo,22,165932
2023,Vila do Conde,80,1849608
2023,Vila do Porto,9,156412
2023,Vila Franca de Xira,121,3698504
2023,Vila Franca do Campo,13,283748
2023,Vila Nova de Famalicão,109,4959948
2023,Vila Nova de Foz Côa,9,342996
2023,Vila Nova de Gaia,274,5805490
2023,Vila Nova de Paiva,5,369340
2023,Vila Pouca de Aguiar,10,629254
2023,Vila Real,67,2654654
2023,Vila Real de Santo António,47,965066
2023,Vila Verde,43,1669760
2023,Vila Viçosa,11,181428
2023,Vimioso,6,178854
2023,Vinhais,5,247902
2023,Viseu,126,5900564
2023,Vizela,22,721570
2023,Vouzela,9,242874
